vOTU,AI05,AI15,AI20,AI28,AI40,AII05,AII15,AII20,AII28,AII40,AIII05,AIII15,AIII20,AIII28,AIII40
NODE_1132_length_8404_cov_4_37298,0,0,15.17638864,0,0,0,7.406506532,14.1788432,0,0,0,7.598362074,16.62648599,0,0
NODE_4154_length_3105_cov_7_00393,0,0,17.30158309,6.865974462,0,0,0,11.4884986,12.86096344,0,0,0,11.95488484,10.41662262,0
NODE_1722_length_6039_cov_4_12951,0,0,8.975821288,0,0,0,14.98134276,31.66608315,0,0,0,9.641619102,246.8223916,0,0
NODE_1603_length_6390_cov_5_54301,0,0,20.27685533,0,0,0,0,11.4884986,8.199566209,0,0,0,14.78727294,0,0
NODE_1384_length_7229_cov_41_5022,0,0,108.1848989,0,0,0,62.87114067,92.27154884,0,0,0,36.90633007,118.6292419,0,0
NODE_3571_length_3495_cov_6_43895,0,28.07003304,14.17629713,0,0,0,45.74359432,18.39614016,0,0,0,38.75803176,21.9969881,0,0
NODE_3569_length_3497_cov_3_20366,0,0,11.57605921,0,0,0,0,8.216457856,0,0,0,0,11.77096353,0,0
NODE_149_length_30230_cov_5_05418,0,0,18.32667689,0,0,0,0,7.889253782,0,0,0,0,6.952225337,0,0
NODE_952_length_9621_cov_5_61415,0,0,20.45187135,0,0,0,0,8.434593905,0,0,0,0,9.269633783,0,0
NODE_625_length_12700_cov_9_33673,0,0,33.40305638,0,0,0,0,29.08480657,0,0,0,0,24.38796507,0,0
NODE_987_length_9356_cov_4_6752,0,0,17.10156479,0,0,0,123.9748196,10.47053037,0,0,0,84.22050064,14.8240572,0,0
NODE_6282_length_2301_cov_2_71906,0,0,9.675885344,0,0,0,0,9.96154625,0,0,0,0,13.09519693,0,0
NODE_444_length_15776_cov_7_2442,0,0,26.30240667,0,0,0,0,28.61217846,0,0,0,0,29.75846719,0,0
NODE_1879_length_5659_cov_3_74179,0,0,14.40131772,0,0,0,43.93405011,17.74173201,0,0,0,32.62826067,26.96286335,0,0
NODE_341_length_18405_cov_76_2584,0,0,251.3730006,6.557005611,0,0,7.701083496,141.3885159,14.15267592,0,0,0,124.9561348,7.687544372,0
